2013-01-07 14:07:43 upgrade rhythmbox-data:all 2.97-1ubuntu5 2.97-1ubuntu6.1
2013-01-07 14:07:43 status half-configured rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:43 status unpacked rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:43 status half-installed rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:44 status half-installed rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:44 status unpacked rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:44 status unpacked rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:44 trigproc ureadahead:armhf 0.100.0-12build1 0.100.0-12build1
2013-01-07 14:07:44 status half-configured ureadahead:armhf 0.100.0-12build1
2013-01-07 14:07:44 status installed ureadahead:armhf 0.100.0-12build1
2013-01-07 14:07:46 startup packages configure
2013-01-07 14:07:46 configure libglib2.0-0:armhf 2.34.1-1ubuntu1 <none>
2013-01-07 14:07:46 status unpacked libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status half-configured libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status installed libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status triggers-pending libc-bin:armhf 2.15-0ubuntu20
2013-01-07 14:07:46 configure libdconf1:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:46 status unpacked libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:46 status half-configured libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure dconf-service:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:47 status unpacked dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status half-configured dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:47 status unpacked dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status half-configured dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure mountall:armhf 2.42ubuntu0.3 <none>
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status half-configured mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status installed mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 configure liblxc0:armhf 0.8.0~rc1-4ubuntu39 <none>
2013-01-07 14:07:47 status unpacked liblxc0:armhf 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:47 status half-configured liblxc0:armhf 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:47 status installed liblxc0:armhf 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:47 configure libglib2.0-data:all 2.34.1-1ubuntu1 <none>
2013-01-07 14:07:47 status unpacked libglib2.0-data:all 2.34.1-1ubuntu1
2013-01-07 14:07:47 status half-configured libglib2.0-data:all 2.34.1-1ubuntu1
2013-01-07 14:07:47 status installed libglib2.0-data:all 2.34.1-1ubuntu1
2013-01-07 14:07:47 configure linux-libc-dev:armhf 3.5.0-21.32 <none>
2013-01-07 14:07:47 status unpacked linux-libc-dev:armhf 3.5.0-21.32
2013-01-07 14:07:47 status half-configured linux-libc-dev:armhf 3.5.0-21.32
2013-01-07 14:07:47 status installed linux-libc-dev:armhf 3.5.0-21.32
2013-01-07 14:07:47 configure rhythmbox-data:all 2.97-1ubuntu6.1 <none>
2013-01-07 14:07:47 status unpacked rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:47 status half-configured rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:47 status installed rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:47 trigproc libc-bin:armhf 2.15-0ubuntu20 <none>
2013-01-07 14:07:47 status half-configured libc-bin:armhf 2.15-0ubuntu20
2013-01-07 14:07:49 status installed libc-bin:armhf 2.15-0ubuntu20
2013-01-10 23:12:15 startup archives unpack
2013-01-10 23:12:16 upgrade gpgv:armhf 1.4.11-3ubuntu4 1.4.11-3ubuntu4.1
2013-01-10 23:12:16 status half-configured gpgv:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:16 status unpacked gpgv:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:16 status half-installed gpgv:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:16 status half-installed gpgv:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:16 status unpacked gpgv:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:16 status unpacked gpgv:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:17 startup packages configure
2013-01-10 23:12:17 configure gpgv:armhf 1.4.11-3ubuntu4.1 <none>
2013-01-10 23:12:17 status unpacked gpgv:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:17 status half-configured gpgv:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:17 status installed gpgv:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:18 startup archives unpack
2013-01-10 23:12:18 upgrade gnupg:armhf 1.4.11-3ubuntu4 1.4.11-3ubuntu4.1
2013-01-10 23:12:18 status half-configured gnupg:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:18 status unpacked gnupg:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:18 status half-installed gnupg:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:19 status triggers-pending install-info:armhf 4.13a.dfsg.1-10ubuntu2
2013-01-10 23:12:19 status half-installed gnupg:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:19 status half-installed gnupg:armhf 1.4.11-3ubuntu4
2013-01-10 23:12:19 status unpacked gnupg:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:19 status unpacked gnupg:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:19 trigproc install-info:armhf 4.13a.dfsg.1-10ubuntu2 4.13a.dfsg.1-10ubuntu2
2013-01-10 23:12:19 status half-configured install-info:armhf 4.13a.dfsg.1-10ubuntu2
2013-01-10 23:12:20 status installed install-info:armhf 4.13a.dfsg.1-10ubuntu2
2013-01-10 23:12:21 startup packages configure
2013-01-10 23:12:21 configure gnupg:armhf 1.4.11-3ubuntu4.1 <none>
2013-01-10 23:12:21 status unpacked gnupg:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:21 status half-configured gnupg:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:21 status installed gnupg:armhf 1.4.11-3ubuntu4.1
2013-01-10 23:12:46 startup archives unpack
2013-01-10 23:12:47 install dialog:armhf <none> 1.1-20120215-2ubuntu1
2013-01-10 23:12:47 status half-installed dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:12:48 status unpacked dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:12:48 status unpacked dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:12:49 startup packages configure
2013-01-10 23:12:49 configure dialog:armhf 1.1-20120215-2ubuntu1 <none>
2013-01-10 23:12:49 status unpacked dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:12:49 status half-configured dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:12:49 status installed dialog:armhf 1.1-20120215-2ubuntu1
2013-01-10 23:14:23 startup archives unpack
2013-01-10 23:14:23 install xkb-data:all <none> 2.5-1ubuntu7
2013-01-10 23:14:23 status half-installed xkb-data:all 2.5-1ubuntu7
